version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D2
0.2;06414000;01.11.2020;Citybahn;5322;5322 Brüder-Grimm-Schule;;978;91;0;1069;209;0;0;209;78;131
0.2;06414000;01.11.2020;Citybahn;5323;5323 Brüder-Grimm-Schule;;1031;132;0;1163;203;1;0;203;92;111
0.2;06414000;01.11.2020;Citybahn;5324;5324 Ortsverwaltung Kastel/Kostheim;;889;208;0;1097;313;0;0;313;133;180
0.2;06414000;01.11.2020;Citybahn;5331;5331 Wilhelm-Leuschner-Schule;;857;133;0;990;213;0;0;213;77;136
0.2;06414000;01.11.2020;Citybahn;5332;5332 Wilhelm-Leuschner-Schule;;849;92;0;941;144;0;0;144;62;82
0.2;06414000;01.11.2020;Citybahn;5333;5333 Krautgartenschule -Im Sampel;;909;80;0;989;225;0;1;224;96;128
0.2;06414000;01.11.2020;Citybahn;99011;B99011 Briefwahlbezirk;;0;0;0;0;576;576;2;574;297;277
0.2;06414000;01.11.2020;Citybahn;99012;B99012 Briefwahlbezirk;;0;0;0;0;668;668;3;665;330;335
0.2;06414000;01.11.2020;Citybahn;99013;B99013 Briefwahlbezirk;;0;0;0;0;389;389;2;387;203;184
0.2;06414000;01.11.2020;Citybahn;99014;B99014 Briefwahlbezirk;;0;0;0;0;608;608;2;606;306;300
0.2;06414000;01.11.2020;Citybahn;99021;B99021 Briefwahlbezirk;;0;0;0;0;674;674;2;672;173;499
0.2;06414000;01.11.2020;Citybahn;99022;B99022 Briefwahlbezirk;;0;0;0;0;587;587;0;587;207;380
0.2;06414000;01.11.2020;Citybahn;99023;B99023 Briefwahlbezirk;;0;0;0;0;547;547;12;535;186;349
0.2;06414000;01.11.2020;Citybahn;99024;B99024 Briefwahlbezirk;;0;0;0;0;484;484;0;484;181;303
0.2;06414000;01.11.2020;Citybahn;99025;B99025 Briefwahlbezirk;;0;0;0;0;530;530;3;527;227;300
0.2;06414000;01.11.2020;Citybahn;99026;B99026 Briefwahlbezirk;;0;0;0;0;545;545;2;543;147;396
0.2;06414000;01.11.2020;Citybahn;99027;B99027 Briefwahlbezirk;;0;0;0;0;483;483;0;483;152;331
0.2;06414000;01.11.2020;Citybahn;99028;B99028 Briefwahlbezirk;;0;0;0;0;383;383;2;381;162;219
0.2;06414000;01.11.2020;Citybahn;99031;B99031 Briefwahlbezirk;;0;0;0;0;569;569;1;568;245;323
0.2;06414000;01.11.2020;Citybahn;99032;B99032 Briefwahlbezirk;;0;0;0;0;582;582;2;580;188;392
0.2;06414000;01.11.2020;Citybahn;99033;B99033 Briefwahlbezirk;;0;0;0;0;534;534;1;533;292;241
0.2;06414000;01.11.2020;Citybahn;99034;B99034 Briefwahlbezirk;;0;0;0;0;692;692;3;689;224;465
0.2;06414000;01.11.2020;Citybahn;99035;B99035 Briefwahlbezirk;;0;0;0;0;507;507;0;507;176;331
0.2;06414000;01.11.2020;Citybahn;99036;B99036 Briefwahlbezirk;;0;0;0;0;479;479;0;479;174;305
0.2;06414000;01.11.2020;Citybahn;99061;B99061 Briefwahlbezirk;;0;0;0;0;535;535;2;533;312;221
0.2;06414000;01.11.2020;Citybahn;99062;B99062 Briefwahlbezirk;;0;0;0;0;561;561;3;558;306;252
0.2;06414000;01.11.2020;Citybahn;99063;B99063 Briefwahlbezirk;;0;0;0;0;582;582;1;581;289;292
0.2;06414000;01.11.2020;Citybahn;99064;B99064 Briefwahlbezirk;;0;0;0;0;458;458;0;458;158;300
0.2;06414000;01.11.2020;Citybahn;99065;B99065 Briefwahlbezirk;;0;0;0;0;534;534;1;533;277;256
